ttf-hack-nerd 3.1.1-1
ttf-jetbrains-mono 2.304-1
ttf-jetbrains-mono-nerd 3.1.1-1
ttf-liberation 2.1.5-1
ttf-material-design-icons-git v7.4.47.r0.g57b567a-1
ttf-nerd-fonts-symbols 3.1.1-1
ttf-nerd-fonts-symbols-common 3.1.1-1
ttf-noto-nerd 3.1.1-1
ttf-opensans 1.101-2
ttf-unifont 15.1.05-2
ttf-victor-mono-nerd 3.1.1-1
tumbler 4.18.2-1
ueberzug 18.2.2-1
unrar 1:7.0.7-1
unzip 6.0-20
upower 1.90.2-1
usb_modeswitch 2.6.1-3
usbutils 017-1
uthash 2.3.0-2
virtualbox 7.0.14-2
virtualbox-ext-oracle 7.0.14-1
virtualbox-guest-iso 7.0.14-1
visual-studio-code-bin 1.87.2-1
vlc 3.0.20-8
vnstat 2.12-1
webtorrent-cli 4.1.0-1
wget 1.24.5-1
which 2.21-6
wireplumber 0.5.0-1
wpa_supplicant 2:2.10-8
xcape 1.2-4
xclip 0.13-4
xdg-user-dirs 0.18-1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-1
xf86-input-libinput 1.4.0-1
xf86-input-synaptics 1.9.2-1
xf86-video-vesa 2.6.0-1
xfsprogs 6.6.0-1
xl2tpd 1.3.18-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.3-1
xorg-font-util 1.4.1-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.11-2
xorg-server-devel 21.1.11-2
xorg-server-xephyr 21.1.11-2
xorg-server-xnest 21.1.11-2
xorg-server-xvfb 21.1.11-2
xorg-sessreg 1.1.3-1
xorg-smproxy 1.0.7-1
xorg-x11perf 1.6.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xpr 1.2.0-1
xorg-xrandr 1.5.2-1
xorg-xrefresh 1.1.0-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.2.4-2
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xterm 390-1
xwallpaper 0.7.4-1
yarn 1.22.22-1
yay 12.3.5-1
yazi 0.2.4-1
ympd 1.3.0-4
yt-dlp 2024.03.10-1
ytdlp-gui 1.0.2-1
ytfzf 2.6.2-1
zathura 0.5.5-1
zathura-pdf-poppler 0.3.2-3
zip 3.0-11
zsh 5.9-5
zsh-autosuggestions 0.7.0-2
zsh-syntax-highlighting 0.8.0-1
